"","retrievalTime","title","ordering"
"1",2016-11-06 11:42:31,"In scathing ruling, Federal Court says CSIS bulk data collection illegal",1
"2",2016-11-06 11:42:31,"Berlin Is Bringing Back Subway Trains from the 1950s",2
"3",2016-11-06 11:42:31,"Every Version of Voxel Quest",3
"4",2016-11-06 11:42:31,"Fighting Loneliness with Public Living Rooms",4
"5",2016-11-06 11:42:31,"Cylance Discloses Voting Machine Vulnerability",5
"6",2016-11-06 11:42:31,"Nyancat on the touchbar",6
"7",2016-11-06 11:42:31,"Why you should avoid LastPass",7
"8",2016-11-06 11:42:31,"Daiwa to adopt blockchain for Myanmar stock trading",8
"9",2016-11-06 11:42:31,"Nightmare Machine by MIT Media Lab",9
"10",2016-11-06 11:42:31,"The End of the General Purpose Operating System",10
"11",2016-11-06 11:42:31,"Reservoirs are contributing 1.5% of global greenhouse gas emissions",11
"12",2016-11-06 11:42:31,"Tensions Flare in Silicon Valley Over Growth",12
"13",2016-11-06 11:42:31,"The X3DH Key Agreement Protocol",13
"14",2016-11-06 11:42:31,"Tech Jobs, Cheaper Housing: The New Silicon Cities",14
"15",2016-11-06 11:42:31,"How to contribute to an open source project on GitHub",15
"16",2016-11-06 11:42:31,"Online PHP Coding Standards Fixer",16
"17",2016-11-06 11:42:31,"PaperNIC – Open Source Document Management and Collaboration System",17
"18",2016-11-06 11:42:31,"Tensorflow and Deep Learning, Without a PhD, Martin Gorner, Google [video]",18
"19",2016-11-06 11:42:31,"Ask HN: Overwhelmed with learning front-end, how do I proceed?",19
"20",2016-11-06 11:42:31,"There’s Big Money to Be Made in Asteroid Mining",20
"21",2016-11-06 11:42:31,"Show HN: Make an app by adding JSON to this app",21
"22",2016-11-06 11:42:31,"In the Joints of Their Toes: A ruse that gave rise to the spiritualist movement",22
"23",2016-11-06 11:42:31,"Why I won't recommend Signal anymore",23
"24",2016-11-06 11:42:31,"Verifying the Substitution Cipher Folklore",24
"25",2016-11-06 11:42:31,"Deep in New Zealand",25
"26",2016-11-06 11:42:31,"Don’t Get Attached, It’s Just Luck. My Interviewing Advice and Tips",26
"27",2016-11-06 11:42:31,"Inside NORAD's Cheyenne Mountain Combat Center",27
"28",2016-11-06 11:42:31,"Creating linked open data for 5000 works of art",28
"29",2016-11-06 11:42:31,"Mars Opportunity Rover: Driving the Jet Propulsion Lab's Mars Rover, Again",29
"30",2016-11-06 11:42:31,"DeepMind and Blizzard to release StarCraft II as an AI research environment",30
"31",2016-11-06 11:42:34,"In scathing ruling, Federal Court says CSIS bulk data collection illegal",1
"32",2016-11-06 11:42:34,"Berlin Is Bringing Back Subway Trains from the 1950s",2
"33",2016-11-06 11:42:34,"Every Version of Voxel Quest",3
"34",2016-11-06 11:42:34,"Fighting Loneliness with Public Living Rooms",4
"35",2016-11-06 11:42:34,"Cylance Discloses Voting Machine Vulnerability",5
"36",2016-11-06 11:42:34,"Nyancat on the touchbar",6
"37",2016-11-06 11:42:34,"Why you should avoid LastPass",7
"38",2016-11-06 11:42:34,"Daiwa to adopt blockchain for Myanmar stock trading",8
"39",2016-11-06 11:42:34,"Nightmare Machine by MIT Media Lab",9
"40",2016-11-06 11:42:34,"The End of the General Purpose Operating System",10
"41",2016-11-06 11:42:34,"Reservoirs are contributing 1.5% of global greenhouse gas emissions",11
"42",2016-11-06 11:42:34,"Tensions Flare in Silicon Valley Over Growth",12
"43",2016-11-06 11:42:34,"The X3DH Key Agreement Protocol",13
"44",2016-11-06 11:42:34,"Tech Jobs, Cheaper Housing: The New Silicon Cities",14
"45",2016-11-06 11:42:34,"How to contribute to an open source project on GitHub",15
"46",2016-11-06 11:42:34,"Online PHP Coding Standards Fixer",16
"47",2016-11-06 11:42:34,"PaperNIC – Open Source Document Management and Collaboration System",17
"48",2016-11-06 11:42:34,"Tensorflow and Deep Learning, Without a PhD, Martin Gorner, Google [video]",18
"49",2016-11-06 11:42:34,"Ask HN: Overwhelmed with learning front-end, how do I proceed?",19
"50",2016-11-06 11:42:34,"There’s Big Money to Be Made in Asteroid Mining",20
"51",2016-11-06 11:42:34,"Show HN: Make an app by adding JSON to this app",21
"52",2016-11-06 11:42:34,"In the Joints of Their Toes: A ruse that gave rise to the spiritualist movement",22
"53",2016-11-06 11:42:34,"Why I won't recommend Signal anymore",23
"54",2016-11-06 11:42:34,"Verifying the Substitution Cipher Folklore",24
"55",2016-11-06 11:42:34,"Deep in New Zealand",25
"56",2016-11-06 11:42:34,"Don’t Get Attached, It’s Just Luck. My Interviewing Advice and Tips",26
"57",2016-11-06 11:42:34,"Inside NORAD's Cheyenne Mountain Combat Center",27
"58",2016-11-06 11:42:34,"Creating linked open data for 5000 works of art",28
"59",2016-11-06 11:42:34,"Mars Opportunity Rover: Driving the Jet Propulsion Lab's Mars Rover, Again",29
"60",2016-11-06 11:42:34,"DeepMind and Blizzard to release StarCraft II as an AI research environment",30
"61",2016-11-06 11:42:37,"In scathing ruling, Federal Court says CSIS bulk data collection illegal",1
"62",2016-11-06 11:42:37,"Berlin Is Bringing Back Subway Trains from the 1950s",2
"63",2016-11-06 11:42:37,"Every Version of Voxel Quest",3
"64",2016-11-06 11:42:37,"Fighting Loneliness with Public Living Rooms",4
"65",2016-11-06 11:42:37,"Cylance Discloses Voting Machine Vulnerability",5
"66",2016-11-06 11:42:37,"Nyancat on the touchbar",6
"67",2016-11-06 11:42:37,"Why you should avoid LastPass",7
"68",2016-11-06 11:42:37,"Daiwa to adopt blockchain for Myanmar stock trading",8
"69",2016-11-06 11:42:37,"Nightmare Machine by MIT Media Lab",9
"70",2016-11-06 11:42:37,"The End of the General Purpose Operating System",10
